[Epoch: 99]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 100]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 100]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 100]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 101]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 101]: Phase valid | Loss: 0.702 | Acc: 0.390
[Epoch: 101]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 102]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 102]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 102]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 103]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 103]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 103]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 104]: Phase train | Loss: 0.692 | Acc: 0.516
[Epoch: 104]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 104]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 105]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 105]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 105]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 106]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 106]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 106]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 107]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 107]: Phase valid | Loss: 0.700 | Acc: 0.390
[Epoch: 107]: Phase test  | Loss: 0.694 | Acc: 0.480
[Epoch: 108]: Phase train | Loss: 0.692 | Acc: 0.516
[Epoch: 108]: Phase valid | Loss: 0.700 | Acc: 0.390
[Epoch: 108]: Phase test  | Loss: 0.694 | Acc: 0.480
[Epoch: 109]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 109]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 109]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 110]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 110]: Phase valid | Loss: 0.702 | Acc: 0.390
[Epoch: 110]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 111]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 111]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 111]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 112]: Phase train | Loss: 0.692 | Acc: 0.516
[Epoch: 112]: Phase valid | Loss: 0.702 | Acc: 0.390
[Epoch: 112]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 113]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 113]: Phase valid | Loss: 0.702 | Acc: 0.390
[Epoch: 113]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 114]: Phase train | Loss: 0.692 | Acc: 0.516
[Epoch: 114]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 114]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 115]: Phase train | Loss: 0.692 | Acc: 0.516
[Epoch: 115]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 115]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 116]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 116]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 116]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 117]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 117]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 117]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 118]: Phase train | Loss: 0.692 | Acc: 0.516
[Epoch: 118]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 118]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 119]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 119]: Phase valid | Loss: 0.702 | Acc: 0.390
[Epoch: 119]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 120]: Phase train | Loss: 0.692 | Acc: 0.516
[Epoch: 120]: Phase valid | Loss: 0.702 | Acc: 0.390
[Epoch: 120]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 121]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 121]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 121]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 122]: Phase train | Loss: 0.692 | Acc: 0.516
[Epoch: 122]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 122]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 123]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 123]: Phase valid | Loss: 0.702 | Acc: 0.390
[Epoch: 123]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 124]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 124]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 124]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 125]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 125]: Phase valid | Loss: 0.702 | Acc: 0.390
[Epoch: 125]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 126]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 126]: Phase valid | Loss: 0.702 | Acc: 0.390
[Epoch: 126]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 127]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 127]: Phase valid | Loss: 0.700 | Acc: 0.390
[Epoch: 127]: Phase test  | Loss: 0.694 | Acc: 0.480
[Epoch: 128]: Phase train | Loss: 0.692 | Acc: 0.516
[Epoch: 128]: Phase valid | Loss: 0.700 | Acc: 0.390
[Epoch: 128]: Phase test  | Loss: 0.694 | Acc: 0.480
[Epoch: 129]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 129]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 129]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 130]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 130]: Phase valid | Loss: 0.702 | Acc: 0.390
[Epoch: 130]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 131]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 131]: Phase valid | Loss: 0.702 | Acc: 0.390
[Epoch: 131]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 132]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 132]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 132]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 133]: Phase train | Loss: 0.693 | Acc: 0.516
[Epoch: 133]: Phase valid | Loss: 0.701 | Acc: 0.390
[Epoch: 133]: Phase test  | Loss: 0.695 | Acc: 0.480
[Epoch: 134]: Phase train | Loss: 0.692 | Acc: 0.516
